 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.50500E+02    0.18000E+03    0.34437E+00    0.80249E+02    0.64156E+00    0.98592E+00
    0.50600E+02    0.18000E+03    0.34254E+00    0.80009E+02    0.64218E+00    0.98472E+00
    0.50700E+02    0.18000E+03    0.34073E+00    0.79769E+02    0.64278E+00    0.98352E+00
    0.50800E+02    0.18000E+03    0.33893E+00    0.79554E+02    0.64358E+00    0.98251E+00
    0.50900E+02    0.18000E+03    0.33712E+00    0.79374E+02    0.64466E+00    0.98178E+00
    0.51000E+02    0.18000E+03    0.33531E+00    0.79218E+02    0.64592E+00    0.98123E+00
    0.51100E+02    0.18000E+03    0.33351E+00    0.79059E+02    0.64716E+00    0.98067E+00
    0.51200E+02    0.18000E+03    0.33174E+00    0.78871E+02    0.64815E+00    0.97988E+00
    0.51300E+02    0.18000E+03    0.32999E+00    0.78636E+02    0.64874E+00    0.97873E+00
    0.51400E+02    0.18000E+03    0.32828E+00    0.78354E+02    0.64894E+00    0.97722E+00
    0.51500E+02    0.18000E+03    0.32660E+00    0.78044E+02    0.64889E+00    0.97549E+00
    0.51600E+02    0.18000E+03    0.32493E+00    0.77735E+02    0.64883E+00    0.97376E+00
    0.51700E+02    0.18000E+03    0.32326E+00    0.77448E+02    0.64895E+00    0.97221E+00
    0.51800E+02    0.18000E+03    0.32158E+00    0.77193E+02    0.64931E+00    0.97089E+00
    0.51900E+02    0.18000E+03    0.31990E+00    0.76957E+02    0.64983E+00    0.96973E+00
    0.52000E+02    0.18000E+03    0.31822E+00    0.76718E+02    0.65031E+00    0.96853E+00
    0.52100E+02    0.18000E+03    0.31656E+00    0.76448E+02    0.65052E+00    0.96707E+00
    0.52200E+02    0.18000E+03    0.31492E+00    0.76133E+02    0.65032E+00    0.96525E+00
    0.52300E+02    0.18000E+03    0.31331E+00    0.75773E+02    0.64973E+00    0.96305E+00
    0.52400E+02    0.18000E+03    0.31172E+00    0.75387E+02    0.64889E+00    0.96062E+00
    0.52500E+02    0.18000E+03    0.31014E+00    0.74999E+02    0.64802E+00    0.95816E+00
    0.52600E+02    0.18000E+03    0.30855E+00    0.74631E+02    0.64730E+00    0.95585E+00
    0.52700E+02    0.18000E+03    0.30695E+00    0.74291E+02    0.64681E+00    0.95375E+00
    0.52800E+02    0.18000E+03    0.30533E+00    0.73970E+02    0.64646E+00    0.95179E+00
    0.52900E+02    0.18000E+03    0.30371E+00    0.73646E+02    0.64607E+00    0.94977E+00
    0.53000E+02    0.18000E+03    0.30209E+00    0.73295E+02    0.64542E+00    0.94752E+00
    0.53100E+02    0.18000E+03    0.30050E+00    0.72902E+02    0.64438E+00    0.94488E+00
    0.53200E+02    0.18000E+03    0.29893E+00    0.72465E+02    0.64294E+00    0.94186E+00
    0.53300E+02    0.18000E+03    0.29737E+00    0.72001E+02    0.64122E+00    0.93859E+00
    0.53400E+02    0.18000E+03    0.29581E+00    0.71532E+02    0.63944E+00    0.93525E+00
    0.53500E+02    0.18000E+03    0.29424E+00    0.71080E+02    0.63778E+00    0.93201E+00
    0.53600E+02    0.18000E+03    0.29265E+00    0.70651E+02    0.63631E+00    0.92895E+00
    0.53700E+02    0.18000E+03    0.29104E+00    0.70241E+02    0.63497E+00    0.92601E+00
    0.53800E+02    0.18000E+03    0.28942E+00    0.69829E+02    0.63360E+00    0.92302E+00
    0.53900E+02    0.18000E+03    0.28780E+00    0.69394E+02    0.63200E+00    0.91980E+00
